Player,userID,Participations,Points,Firsts,Seconds,Thirds
miwoo,12630336,2,41,6,10,3
ulko,1263669,1,37,11,1,2
Zed0x,12136108,1,31,7,4,2
chibamasu,16067522,1,27,5,5,2
JarvisGaming,8601048,2,24,2,5,8
Remi_hs,7692731,2,24,0,10,4
Warp,18649724,3,23,5,2,4
Katdon_donKat,8089664,1,15,4,1,1
_TheXFactory_,15013948,2,15,2,2,5
TheCoconutHuman,27809747,2,12,2,2,2
351,9511518,1,8,1,2,1
NaNaHiDa,30114023,1,3,0,1,1
vun,6932501,1,3,0,0,3
AlejarTV,12568571,1,2,0,1,0
Adimoc,6757492,1,1,0,0,1
YouCanNotKnow,9311768,1,1,0,0,1
shinjinhome,30147970,1,1,0,0,1
