Seed,Username,Score,Max Combo,Mods,Miss,100 Count
1,ulko,1053501,1553,NF HD,0,8
2,Remi_hs,1051884,1553,HD,0,10
3,Warp,1048023,1553,HD,0,14
4,YouCanNotKnow,1038949,1553,NF HD,0,23
5,TheCoconutHuman,1037082,1553,HD HR NF,0,92
6,-Ryuji-,1021156,995,HD,2,8
7,_TheXFactory_,1013016,1553,NF HR,0,48
8,BajedePuerta,1011786,1007,HD,3,22
9,Glassive,969342,1236,NF,3,16
10,NaNaHiDa,961137,1234,NF,4,21
11,Adimoc,947127,1044,NF HR,2,100
12,PepeTheShrek,935825,1204,NF HR,13,83
13,plush seal,917505,720,NF HD,19,80
14,yamfan,914614,694,NF,20,25
15,mikuhatsunegirl10,889887,1005,NF,25,31
16,DemonSlayer6669,867409,693,NF,12,87
17,fetet,833315,690,,36,62
18,DrummerDragon,606039,347,NF,138,115
19,21Jeff21,599368,447,NF,169,78
20,voxdei,588254,252,NF,107,186
